id,gene,gene_function,sub_class,class,source_organism
Marse-g0187_arsC_thio,arsC_thio,thioredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Synechocystis sp. IPPAS B-1465
Marse-g0188_arsC_thio,arsC_thio,thioredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Bacillus subtilis subsp. subtilis str. 168
Marse-g0189_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Marse-g0190_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD,Arsenic resistance,Metals,Escherichia coli
Marse-g0191_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0192_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0193_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0194_arsD,arsD,arsenite_efflux_transporter_metallochaperone_ArsD_partial,Arsenic resistance,Metals,Escherichia coli
Marse-g0195_arsD_like,arsD_like,arsenite_efflux_transporter_metallochaperone_ArsD-related_protein,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0196_arsH,arsH,arsenic_resistance_NADPH-dependent_reductase_ArsH,Arsenic resistance,Metals,Yersinia pestis
Marse-g0197_arsM,arsM,Arsenic_resistance_protein,Arsenic resistance,Metals,Rhodopseudomonas palustris
Marse-g0198_arsP,arsP,organoarsenical_efflux_permease_ArsP,Arsenic resistance,Metals,Campylobacter jejuni
Marse-g0199_arsR_R46,arsR_R46,As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR,Arsenic resistance,Metals,Escherichia coli
Marse-g0200_arsR_Tn7102,arsR_Tn7102,As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0201_arsT,arsT,Arsenic_resistance_protein,Arsenic resistance,Metals,Microbacterium sp. str. 'China'
Marse-g0202_pstA,pstA,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0203_pstB,pstB,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0204_pstC,pstC,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0205_pstS,pstS,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0206_pstS,pstS,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Mcadm-g0207_mreA,mreA,metal-sensing_transcriptional_repressor_MreA,Cadmium and nickel resistance,Metals,Pseudomonas aeruginosa
Mcadm-g0208_cadA_Lm,cadA_Lm,cadmium-translocating_P-type_ATPase_CadA,Cadmium resistance,Metals,Enterococcus saigonensis
Mcadm-g0209_cadA_Lm,cadA_Lm,cadmium-translocating_P-type_ATPase_CadA,Cadmium resistance,Metals,Listeria monocytogenes
Mcadm-g0210_cadC_Lm,cadC_Lm,Cd(II)-sensing_metalloregulatory_transcriptional_repressor_CadC,Cadmium resistance,Metals,Enterococcus faecalis
Mcadm-g0211_cadC_Lm,cadC_Lm,Cd(II)-sensing_metalloregulatory_transcriptional_repressor_CadC,Cadmium resistance,Metals,Listeria monocytogenes
